Location,Property Type,Bedrooms,Bathrooms,Size (m2),Amenities,Price (KES),price_per_sqft,amenity_score,distance_to_cbd_km,total_rooms,room_density,bathroom_bedroom_ratio,is_luxury,property_category
Westlands,Land,1,2,65.0,Swimming Pool,5500000.0,84615.38,2.0,2.93,3,0.0462,2.0,0,Other
Kileleshwa,Apartment,1,2,65.0,Swimming Pool,6000000.0,92307.69,2.0,3.33,3,0.0462,2.0,0,Apartment
Kileleshwa,Apartment,1,1,47.0,Swimming Pool,5100000.0,108510.64,2.0,3.33,2,0.0426,1.0,0,Apartment
Lavington,Townhouse,5,6,875.8541337429396,En Suite,75000000.0,85630.7,0.5,5.48,11,0.0126,1.2,0,House
Lavington,Townhouse,5,6,899.1200676119591,En Suite,81000000.0,90088.08,0.5,5.48,11,0.0122,1.2,0,House
Lavington,Townhouse,6,7,1223.038473716685,En Suite,85000000.0,69499.04,0.5,5.48,13,0.0106,1.17,0,House
Kileleshwa,Apartment,2,2,93.81527966541417,En Suite,9210000.0,98171.64,0.5,3.33,4,0.0426,1.0,0,Apartment
Kileleshwa,Apartment,1,1,33.30947496764011,En Suite,3000000.0,90064.46,0.5,3.33,2,0.06,1.0,0,Apartment
Karen,Villa,5,6,2916.439631439397,En Suite,190000000.0,65147.93,0.5,12.49,11,0.0038,1.2,0,House
Kileleshwa,Studio,1,1,40.0,Gym,4200000.0,105000.0,2.0,3.33,2,0.05,1.0,0,Apartment
Kilimani,Apartment,1,1,33.456141634306775,En Suite,3000000.0,89669.63,0.5,3.85,2,0.0598,1.0,0,Apartment
Kilimani,Apartment,1,1,65.55650331300707,En Suite,7000000.0,106778.12,0.5,3.85,2,0.0305,1.0,0,Apartment
Kilimani,Apartment,4,4,455.0070554758354,En Suite,13000000.0,28570.99,0.5,3.85,8,0.0176,1.0,0,Apartment
Lavington,Apartment,4,4,454.1426492321708,En Suite,13500000.0,29726.34,0.5,5.48,8,0.0176,1.0,0,Apartment
Kileleshwa,Apartment,4,5,382.34881899448055,En Suite,13000000.0,34000.37,0.5,3.33,9,0.0235,1.25,0,Apartment
Kileleshwa,Apartment,3,3,108.6792097022128,En Suite,9000000.0,82812.53,0.5,3.33,6,0.0552,1.0,0,Apartment
Kilimani,Apartment,1,1,76.0,En Suite,8360000.0,110000.0,0.5,3.85,2,0.0263,1.0,0,Apartment
Kileleshwa,Apartment,2,2,70.23935915309323,En Suite,6000000.0,85422.19,0.5,3.33,4,0.0569,1.0,0,Apartment
Westlands,Land,3,3,1040.2478911445507,En Suite,12000000.0,11535.71,0.5,2.93,6,0.0058,1.0,0,Other
Kileleshwa,Apartment,4,4,372.9361683087978,En Suite,13500000.0,36199.22,0.5,3.33,8,0.0215,1.0,0,Apartment
Westlands,Townhouse,1,2,65.0,"Swimming Pool, Gym, Garden, Parking, Borehole, Lift, En Suite, Balcony, CCTV, Generator, Fibre, Gate, Electric Fence",116082527.76604202,1785885.04,13.0,2.93,3,0.0462,2.0,1,House
Westlands,Land,2,2,85.9101577882873,En Suite,7000000.0,81480.47,0.5,2.93,4,0.0466,1.0,0,Other
Kilimani,Apartment,2,2,70.2772671353766,En Suite,6000000.0,85376.11,0.5,3.85,4,0.0569,1.0,0,Apartment
Kilimani,Apartment,4,4,450.9041917575712,En Suite,13500000.0,29939.84,0.5,3.85,8,0.0177,1.0,0,Apartment
Kilimani,Apartment,3,3,109.0664597022128,En Suite,9000000.0,82518.49,0.5,3.85,6,0.055,1.0,0,Apartment
Westlands,Land,2,2,85.9101577882873,En Suite,7000000.0,81480.47,0.5,2.93,4,0.0466,1.0,0,Other
Lavington,Apartment,4,5,442.9064670845849,En Suite,13000000.0,29351.57,0.5,5.48,9,0.0203,1.25,0,Apartment
Westlands,Land,3,2,577.0089448827695,En Suite,13000000.0,22529.98,0.5,2.93,5,0.0087,0.67,0,Other
Lavington,Apartment,3,3,120.25402737898048,En Suite,9000000.0,74841.57,0.5,5.48,6,0.0499,1.0,0,Apartment
Kilimani,Apartment,1,1,73.0,En Suite,8030000.0,110000.0,0.5,3.85,2,0.0274,1.0,0,Apartment
Lavington,Apartment,2,2,70.39594829739484,En Suite,6000000.0,85232.18,0.5,5.48,4,0.0568,1.0,0,Apartment
Westlands,Land,1,1,1344.539200522753,En Suite,4000000.0,2975.0,0.5,2.93,2,0.0015,1.0,0,Other
Lavington,Apartment,1,1,34.00280830097344,En Suite,3000000.0,88228.01,0.5,5.48,2,0.0588,1.0,0,Apartment
Westlands,Townhouse,2,2,73.0,"Swimming Pool, Gym, Garden, Parking, Borehole, Lift, En Suite, Balcony, CCTV, Generator, Fibre, Gate, Electric Fence",20939103.756718,286837.04,13.0,2.93,4,0.0548,1.0,1,House
Kilimani,Apartment,1,1,69.0,Swimming Pool,7590000.0,110000.0,2.0,3.85,2,0.029,1.0,0,Apartment
Kilimani,Apartment,1,1,67.0,Swimming Pool,7370000.0,110000.0,2.0,3.85,2,0.0299,1.0,0,Apartment
Westlands,Land,1,1,672.0,Swimming Pool,8100000.0,12053.57,2.0,2.93,2,0.003,1.0,0,Other
Lavington,Townhouse,2,2,69.0,"Swimming Pool, Gym, Garden, Parking, Borehole, Lift, En Suite, Balcony, CCTV, Generator, Fibre, Gate, Electric Fence",15468361.09937534,224179.15,13.0,5.48,4,0.058,1.0,1,House
Thika Road,Apartment,1,1,70.0,En Suite,5200000.0,74285.71,0.5,11.8,2,0.0286,1.0,0,Apartment
Kilimani,Apartment,1,1,66.0,En Suite,7260000.0,110000.0,0.5,3.85,2,0.0303,1.0,0,Apartment
Kilimani,Apartment,1,1,62.0,Swimming Pool,6820000.0,110000.0,2.0,3.85,2,0.0323,1.0,0,Apartment
Westlands,Land,2,2,120.0,En Suite,11700000.0,97500.0,0.5,2.93,4,0.0333,1.0,0,Other
Westlands,Land,2,2,110.0,En Suite,10700000.0,97272.73,0.5,2.93,4,0.0364,1.0,0,Other
Westlands,Land,1,1,80.0,Swimming Pool,8200000.0,102500.0,2.0,2.93,2,0.025,1.0,0,Other
Westlands,Land,1,1,70.0,En Suite,6700000.0,95714.29,0.5,2.93,2,0.0286,1.0,0,Other
Westlands,Land,2,2,131.0,En Suite,14200000.0,108396.95,0.5,2.93,4,0.0305,1.0,0,Other
Westlands,Land,2,2,110.0,En Suite,11900000.0,108181.82,0.5,2.93,4,0.0364,1.0,0,Other
Kileleshwa,Apartment,3,3,147.97608789182715,En Suite,11000000.0,74336.33,0.5,3.33,6,0.0405,1.0,0,Apartment
Kileleshwa,Apartment,2,2,71.77041410519493,En Suite,7000000.0,97533.23,0.5,3.33,4,0.0557,1.0,0,Apartment
Kileleshwa,Apartment,1,1,40.38312294869301,En Suite,4000000.0,99051.28,0.5,3.33,2,0.0495,1.0,0,Apartment
Lavington,Apartment,2,2,72.06475126536955,En Suite,7000000.0,97134.87,0.5,5.48,4,0.0555,1.0,0,Apartment
Thika Road,Townhouse,1,1,70.0,"Swimming Pool, Gym, Garden, Parking, Borehole, Lift, En Suite, Balcony, CCTV, Generator, Fibre, Gate, Electric Fence",116128999.91932444,1658985.71,13.0,11.8,2,0.0286,1.0,1,House
Lavington,Apartment,1,1,41.37945628202633,En Suite,4000000.0,96666.33,0.5,5.48,2,0.0483,1.0,0,Apartment
Kileleshwa,Apartment,1,1,64.87432362205195,En Suite,6900000.0,106359.49,0.5,3.33,2,0.0308,1.0,0,Apartment
Kileleshwa,Apartment,2,2,138.0,En Suite,13500000.0,97826.09,0.5,3.33,4,0.029,1.0,0,Apartment
Kilimani,Apartment,1,1,70.0,En Suite,6900000.0,98571.43,0.5,3.85,2,0.0286,1.0,0,Apartment
Dagoretti,Studio,1,1,23.11,Swimming Pool,2432000.0,105235.83,2.0,7.67,2,0.0865,1.0,0,Apartment
Westlands,Land,2,2,120.0,"En Suite, SQ",12700000.0,105833.33,1.0,2.93,4,0.0333,1.0,0,Other
Kilimani,Apartment,2,2,68.0,En Suite,7500000.0,110294.12,0.5,3.85,4,0.0588,1.0,0,Apartment
Westlands,Land,1,1,55.0,"Swimming Pool, Rooftop",7800000.0,141818.18,2.5,2.93,2,0.0364,1.0,0,Other
Karen,House,5,4,1533.880927003111,Garden,130000000.0,84752.34,0.5,12.49,9,0.0059,0.8,0,House
Westlands,Land,2,3,139.0,"En Suite, SQ",15300000.0,110071.94,1.0,2.93,5,0.036,1.5,0,Other
Westlands,Studio,1,1,43.0,"Swimming Pool, Gym",5900000.0,137209.3,4.0,2.93,2,0.0465,1.0,0,Apartment
Westlands,Townhouse,2,1,138.0,"Swimming Pool, Gym, Garden, Parking, Borehole, Lift, En Suite, Balcony, CCTV, Generator, Fibre, SQ, Gate, Rooftop, Electric Fence",73645287.71394871,533661.51,14.0,2.93,3,0.0217,0.5,1,House
Kileleshwa,Apartment,3,3,1791.0,"En Suite, SQ",22830000.0,12747.07,1.0,3.33,6,0.0034,1.0,0,Apartment
Kileleshwa,Apartment,1,1,68.0,Swimming Pool,6900000.0,101470.59,2.0,3.33,2,0.0294,1.0,0,Apartment
Kileleshwa,Apartment,5,6,367.0,"En Suite, SQ",41000000.0,111716.62,1.0,3.33,11,0.03,1.2,0,Apartment
Westlands,Land,1,1,60.0,Swimming Pool,7000000.0,116666.67,2.0,2.93,2,0.0333,1.0,0,Other
Kilimani,Apartment,2,3,96.0,En Suite,12000000.0,125000.0,0.5,3.85,5,0.0521,1.5,0,Apartment
Kilimani,Apartment,2,2,72.08154358819979,En Suite,6950000.0,96418.58,0.5,3.85,4,0.0555,1.0,0,Apartment
Westlands,Land,1,1,292.652900642355,En Suite,6000000.0,20502.1,0.5,2.93,2,0.0068,1.0,0,Other
Kiambu,House,4,5,1189.0166766287134,Garden,73000000.0,61395.27,0.5,12.98,9,0.0076,1.25,0,House
Karen,House,4,5,1472.8994217899224,Swimming Pool,85000000.0,57709.3,2.0,12.49,9,0.0061,1.25,0,House
Westlands,Land,2,2,180.16800185480105,En Suite,13000000.0,72154.88,0.5,2.93,4,0.0222,1.0,0,Other
Westlands,Land,1,1,1345.8340723176248,En Suite,4900000.0,3640.86,0.5,2.93,2,0.0015,1.0,0,Other
Kileleshwa,Apartment,3,3,1560.7743317393813,En Suite,24000000.0,15376.98,0.5,3.33,6,0.0038,1.0,0,Apartment
Westlands,Land,2,2,145.3403137311934,En Suite,14500000.0,99765.85,0.5,2.93,4,0.0275,1.0,0,Other
Westlands,Land,1,2,60.0,Swimming Pool,7000000.0,116666.67,2.0,2.93,3,0.05,2.0,0,Other
Westlands,Land,2,3,82.0,En Suite,11000000.0,134146.34,0.5,2.93,5,0.061,1.5,0,Other
Westlands,Land,1,2,57.0,Swimming Pool,5200000.0,91228.07,2.0,2.93,3,0.0526,2.0,0,Other
Lavington,Apartment,2,3,91.0,En Suite,9500000.0,104395.6,0.5,5.48,5,0.0549,1.5,0,Apartment
Kileleshwa,Townhouse,4,4,1791.0,"Swimming Pool, Gym, Garden, Parking, Borehole, Lift, En Suite, Balcony, CCTV, Generator, Fibre, SQ, Gate, Electric Fence",116561038.09523807,65081.54,13.5,3.33,8,0.0045,1.0,0,House
Westlands,Land,1,1,1344.539200522753,En Suite,4000000.0,2975.0,0.5,2.93,2,0.0015,1.0,0,Other
Kileleshwa,Apartment,4,5,343.8041489629999,En Suite,18000000.0,52355.39,0.5,3.33,9,0.0262,1.25,0,Apartment
Lavington,Apartment,2,3,122.0,En Suite,10000000.0,81967.21,0.5,5.48,5,0.041,1.5,0,Apartment
Lavington,Apartment,1,2,64.0,Swimming Pool,6000000.0,93750.0,2.0,5.48,3,0.0469,2.0,0,Apartment
Lavington,Apartment,1,2,64.0,Swimming Pool,5600000.0,87500.0,2.0,5.48,3,0.0469,2.0,0,Apartment
Westlands,Land,2,3,132.0,En Suite,9900000.0,75000.0,0.5,2.93,5,0.0379,1.5,0,Other
Westlands,Land,3,4,1912.2137767206032,"Swimming Pool, SQ",19500000.0,10197.6,2.5,2.93,7,0.0037,1.33,0,Other
Roysambu,Apartment,1,1,497.40828526410274,En Suite,3300000.0,6634.39,0.5,11.34,2,0.004,1.0,0,Apartment
Lavington,Townhouse,5,6,1255.0579581033062,En Suite,135000000.0,107564.75,0.5,5.48,11,0.0088,1.2,0,House
Lavington,Townhouse,4,5,2334.548891212049,En Suite,168000000.0,71962.51,0.5,5.48,9,0.0039,1.25,0,House
Lavington,Townhouse,6,7,2197.698839792292,En Suite,150000000.0,68253.21,0.5,5.48,13,0.0059,1.17,0,House
Lavington,Townhouse,5,5,742.6926661854172,En Suite,95000000.0,127912.94,0.5,5.48,10,0.0135,1.0,0,House
Lavington,Townhouse,5,5,1858.3182622879071,En Suite,160000000.0,86099.35,0.5,5.48,10,0.0054,1.0,0,House
Lavington,Townhouse,5,6,1784.9489688289427,En Suite,150000000.0,84036.02,0.5,5.48,11,0.0062,1.2,0,House
Lavington,Townhouse,6,7,1220.3649509894124,En Suite,86000000.0,70470.72,0.5,5.48,13,0.0107,1.17,0,House
Lavington,Townhouse,5,6,916.4409519359684,En Suite,85000000.0,92750.11,0.5,5.48,11,0.012,1.2,0,House
Lavington,Townhouse,5,5,748.9977495187503,En Suite,90000000.0,120160.57,0.5,5.48,10,0.0134,1.0,0,House
Westlands,Townhouse,5,5,1337.4434466053642,En Suite,150000000.0,112154.27,0.5,2.93,10,0.0075,1.0,0,House
Lavington,Townhouse,4,4,748.2502701474996,En Suite,58000000.0,77514.17,0.5,5.48,8,0.0107,1.0,0,House
Kileleshwa,Townhouse,4,4,963.805778772617,En Suite,76000000.0,78854.06,0.5,3.33,8,0.0083,1.0,0,House
Kileleshwa,Townhouse,4,5,867.3857279001983,En Suite,73000000.0,84160.94,0.5,3.33,9,0.0104,1.25,0,House
Lavington,Townhouse,5,5,769.4440888044649,En Suite,110000000.0,142960.35,0.5,5.48,10,0.013,1.0,0,House
Nairobi,Apartment,2,2,1768.469853173307,En Suite,12000000.0,6785.53,0.5,0.0,4,0.0023,1.0,0,Apartment
Westlands,Land,4,4,1676.1472062366392,En Suite,18000000.0,10738.91,0.5,2.93,8,0.0048,1.0,0,Other
Nairobi,Apartment,3,4,446.7381379112728,En Suite,17000000.0,38053.61,0.5,0.0,7,0.0157,1.33,0,Apartment
Lavington,Apartment,3,3,210.17854941038695,En Suite,11000000.0,52336.45,0.5,5.48,6,0.0285,1.0,0,Apartment
Westlands,Townhouse,3,3,65.0,"Swimming Pool, Gym, Garden, Parking, Borehole, Lift, En Suite, Balcony, CCTV, Generator, Fibre, Gate, Electric Fence",21432630.74229692,329732.78,13.0,2.93,6,0.0923,1.0,1,House
Westlands,Land,2,3,132.0,En Suite,10000000.0,75757.58,0.5,2.93,5,0.0379,1.5,0,Other
Kilimani,Apartment,5,6,1299.520122381305,En Suite,65000000.0,50018.46,0.5,3.85,11,0.0085,1.2,0,Apartment
Kileleshwa,Apartment,1,1,60.11529886127463,Swimming Pool,5500000.0,91490.85,2.0,3.33,2,0.0333,1.0,0,Apartment
Kilimani,Apartment,3,2,1254.7842963215537,En Suite,13700000.0,10918.21,0.5,3.85,5,0.004,0.67,0,Apartment
Lavington,Apartment,2,2,356.768210501094,En Suite,10700000.0,29991.46,0.5,5.48,4,0.0112,1.0,0,Apartment
Westlands,Townhouse,2,3,132.0,"Swimming Pool, Gym, Garden, Parking, Borehole, Lift, En Suite, Balcony, CCTV, Generator, Fibre, Gate, Electric Fence",75277923.02022977,570287.3,13.0,2.93,5,0.0379,1.5,1,House
Lavington,Apartment,2,3,124.0,En Suite,9900000.0,79838.71,0.5,5.48,5,0.0403,1.5,0,Apartment
Lavington,Apartment,1,2,64.0,Swimming Pool,5500000.0,85937.5,2.0,5.48,3,0.0469,2.0,0,Apartment
Westlands,Land,1,2,65.0,Swimming Pool,6000000.0,92307.69,2.0,2.93,3,0.0462,2.0,0,Other
Kilimani,Apartment,3,3,132.0,En Suite,13900000.0,105303.03,0.5,3.85,6,0.0455,1.0,0,Apartment
Lavington,Townhouse,2,3,142.0,"Swimming Pool, Gym, Garden, Parking, Borehole, Lift, En Suite, Balcony, CCTV, Generator, Fibre, Gate, Electric Fence",68304214.68689644,481015.6,13.0,5.48,5,0.0352,1.5,1,House
Westlands,Land,5,6,2636.6084511363874,En Suite,185000000.0,70165.9,0.5,2.93,11,0.0042,1.2,0,Other
Lavington,Villa,5,5,744.773654000307,En Suite,95000000.0,127555.53,0.5,5.48,10,0.0134,1.0,0,House
Kilimani,Apartment,2,2,1274.0,En Suite,13500000.0,10596.55,0.5,3.85,4,0.0031,1.0,0,Apartment
Spring Valley,Townhouse,5,6,1019.3527924477974,"Garden, En Suite",110000000.0,107911.61,1.0,4.77,11,0.0108,1.2,0,House
Kilimani,Apartment,2,2,1192.0,En Suite,13200000.0,11073.83,0.5,3.85,4,0.0034,1.0,0,Apartment
Westlands,Land,2,2,223.89168241035657,En Suite,12500000.0,55830.57,0.5,2.93,4,0.0179,1.0,0,Other
Lavington,Apartment,3,3,404.345350665956,En Suite,13000000.0,32150.73,0.5,5.48,6,0.0148,1.0,0,Apartment
Kilimani,Apartment,2,2,1024.0,Swimming Pool,11300000.0,11035.16,2.0,3.85,4,0.0039,1.0,0,Apartment
Lavington,Apartment,2,2,94.74348244319194,En Suite,9200000.0,97104.3,0.5,5.48,4,0.0422,1.0,0,Apartment
Lavington,Apartment,1,1,64.16395562466052,En Suite,6500000.0,101302.98,0.5,5.48,2,0.0312,1.0,0,Apartment
Lavington,Apartment,3,4,165.0,En Suite,15000000.0,90909.09,0.5,5.48,7,0.0424,1.33,0,Apartment
Westlands,Land,2,3,122.0,En Suite,9800000.0,80327.87,0.5,2.93,5,0.041,1.5,0,Other
