Location,Property Type,Bedrooms,Bathrooms,Size (m2),Amenities,Price (KES),price_per_sqft,amenity_score,distance_to_cbd_km,total_rooms,room_density,bathroom_bedroom_ratio,is_luxury,property_category
South B,Apartment,2,3,200.0,"Security, SQ",7000000.0,35000.0,1.5,3.1,5,0.025,1.5,0,Apartment
Kasarani,Land,2,3,464.0,SQ,39500000.0,85129.31,0.5,11.8,5,0.0108,1.5,0,Other
Kitisuru,Apartment,2,2,113.0,SQ,12500000.0,110619.47,0.5,6.42,4,0.0354,1.0,0,Apartment
Imara Daima,Maisonette,4,3,200.0,SQ,16000000.0,80000.0,0.5,8.83,7,0.035,0.75,0,House
Hurlingham,Maisonette,3,4,980.0,SQ,85000000.0,86734.69,0.5,4.38,7,0.0071,1.33,0,House
Kileleshwa,Apartment,4,4,270.0,SQ,25800000.0,95555.56,0.5,3.33,8,0.0296,1.0,0,Apartment
Kilimani,House,2,2,120.0,"SQ, Gate",14500000.0,120833.33,1.0,3.85,4,0.0333,1.0,0,House
Westlands,Townhouse,4,4,250.0,SQ,50000000.0,200000.0,0.5,2.93,8,0.032,1.0,0,House
Upper Hill,Apartment,3,3,174.0,SQ,19800000.0,113793.1,0.5,0.42,6,0.0345,1.0,0,Apartment
Hurlingham,Studio,1,2,43.0,SQ,5200000.0,120930.23,0.5,4.38,3,0.0698,2.0,0,Apartment
Westlands,Land,4,3,160.0,SQ,33650000.0,210312.5,0.5,2.93,7,0.0438,0.75,0,Other
Westlands,Villa,5,5,200.0,SQ,131000000.0,655000.0,0.5,2.93,10,0.05,1.0,0,House
Kileleshwa,Studio,1,1,48.0,SQ,4500000.0,93750.0,0.5,3.33,2,0.0417,1.0,0,Apartment
South C,Apartment,2,2,152.0,"En Suite, Fibre, SQ",12500000.0,82236.84,1.5,3.4,4,0.0263,1.0,0,Apartment
Westlands,Land,1,1,52.0,"SQ, Gate",5500000.0,105769.23,1.0,2.93,2,0.0385,1.0,0,Other
Westlands,Land,1,1,41.0,SQ,5800000.0,141463.41,0.5,2.93,2,0.0488,1.0,0,Other
Westlands,Land,1,1,59.0,SQ,7800000.0,132203.39,0.5,2.93,2,0.0339,1.0,0,Other
Westlands,Maisonette,4,3,300.0,SQ,34000000.0,113333.33,0.5,2.93,7,0.0233,0.75,0,House
Kabete,Land,1,1,33.0,SQ,3300000.0,100000.0,0.5,9.35,2,0.0606,1.0,0,Other
Kilimani,Apartment,3,3,260.0,"Lift, SQ",15500000.0,59615.38,2.0,3.85,6,0.0231,1.0,0,Apartment
Ridgeways,House,8,6,500.0,"Swimming Pool, SQ",110000000.0,220000.0,2.5,7.64,14,0.028,0.75,0,House
Ridgeways,House,5,5,600.0,SQ,64000000.0,106666.67,0.5,7.64,10,0.0167,1.0,0,House
Kileleshwa,Apartment,3,3,190.0,SQ,16500000.0,86842.11,0.5,3.33,6,0.0316,1.0,0,Apartment
Kasarani,House,6,5,999.0,SQ,55000000.0,55055.06,0.5,11.8,11,0.011,0.83,0,House
Imara Daima,Maisonette,4,4,250.0,"Security, SQ, Gate",15000000.0,60000.0,2.0,8.83,8,0.032,1.0,0,House
Kileleshwa,Apartment,2,2,130.0,SQ,12500000.0,96153.85,0.5,3.33,4,0.0308,1.0,0,Apartment
Parklands,Land,3,3,250.0,SQ,21500000.0,86000.0,0.5,2.72,6,0.024,1.0,0,Other
Kileleshwa,Apartment,4,4,230.0,SQ,22000000.0,95652.17,0.5,3.33,8,0.0348,1.0,0,Apartment
Kileleshwa,Apartment,2,2,90.0,SQ,8500000.0,94444.44,0.5,3.33,4,0.0444,1.0,0,Apartment
Kileleshwa,Apartment,1,1,60.0,SQ,7500000.0,125000.0,0.5,3.33,2,0.0333,1.0,0,Apartment
Westlands,Townhouse,4,4,1056.0,SQ,113000000.0,107007.58,0.5,2.93,8,0.0076,1.0,0,House
Westlands,Studio,1,1,48.0,SQ,8200000.0,170833.33,0.5,2.93,2,0.0417,1.0,0,Apartment
Parklands,Land,2,2,90.0,SQ,8000000.0,88888.89,0.5,2.72,4,0.0444,1.0,0,Other
Parklands,Maisonette,4,4,2800.0,"SQ, Gate",22500000.0,8035.71,1.0,2.72,8,0.0029,1.0,0,House
Nairobi,Bungalow,3,3,150.0,SQ,9500000.0,63333.33,0.5,0.0,6,0.04,1.0,0,House
Kilimani,Apartment,1,1,43.0,SQ,5200000.0,120930.23,0.5,3.85,2,0.0465,1.0,0,Apartment
Kilimani,Apartment,1,1,55.0,SQ,6500000.0,118181.82,0.5,3.85,2,0.0364,1.0,0,Apartment
Nairobi,House,4,4,236.0,SQ,14000000.0,59322.03,0.5,0.0,8,0.0339,1.0,0,House
Westlands,Land,1,1,67.0,"Gym, SQ, Intercom",7600000.0,113432.84,3.0,2.93,2,0.0299,1.0,0,Other
Westlands,Land,1,1,104.0,SQ,6440000.0,61923.08,0.5,2.93,2,0.0192,1.0,0,Other
Garden Estate,House,4,6,474.0,"Garden, SQ",55000000.0,116033.76,1.0,8.24,10,0.0211,1.5,0,House
Westlands,Land,2,2,94.0,SQ,15540000.0,165319.15,0.5,2.93,4,0.0426,1.0,0,Other
Dagoretti,Townhouse,1,3,49.0,"Security, Borehole, SQ, Gate",4900000.0,100000.0,3.0,7.67,4,0.0816,3.0,0,House
Langata,House,4,4,260.0,SQ,35900000.0,138076.92,0.5,10.77,8,0.0308,1.0,0,House
Westlands,Land,2,2,1700.0,SQ,22400000.0,13176.47,0.5,2.93,4,0.0024,1.0,0,Other
Muthaiga,Apartment,2,2,185.0,SQ,13000000.0,70270.27,0.5,5.99,4,0.0216,1.0,0,Apartment
Runda,Villa,4,4,350.0,"Security, SQ",52000000.0,148571.43,1.5,7.43,8,0.0229,1.0,0,House
Westlands,Land,1,1,57.0,SQ,7700000.0,135087.72,0.5,2.93,2,0.0351,1.0,0,Other
Nairobi,Bungalow,3,3,150.0,"SQ, Gate",9550000.0,63666.67,1.0,0.0,6,0.04,1.0,0,House
Kileleshwa,House,4,4,270.0,SQ,29500000.0,109259.26,0.5,3.33,8,0.0296,1.0,0,House
Karen,House,5,5,500.0,SQ,99000000.0,198000.0,0.5,12.49,10,0.02,1.0,0,House
Roysambu,Commercial,1,2,465.0,"Borehole, SQ",122000000.0,262365.59,1.5,11.34,3,0.0065,2.0,0,Other
Westlands,Land,3,3,198.0,SQ,22250000.0,112373.74,0.5,2.93,6,0.0303,1.0,0,Other
Kilimani,Apartment,1,1,70.0,SQ,6900000.0,98571.43,0.5,3.85,2,0.0286,1.0,0,Apartment
Dagoretti,Apartment,2,3,65.0,SQ,7800000.0,120000.0,0.5,7.67,5,0.0769,1.5,0,Apartment
Komarock,House,6,5,400.0,SQ,23000000.0,57500.0,0.5,10.34,11,0.0275,0.83,0,House
Kilimani,Apartment,2,2,75.0,SQ,7500000.0,100000.0,0.5,3.85,4,0.0533,1.0,0,Apartment
Runda,House,5,5,500.0,SQ,110000000.0,220000.0,0.5,7.43,10,0.02,1.0,0,House
Kilimani,Apartment,2,2,95.0,SQ,7500000.0,78947.37,0.5,3.85,4,0.0421,1.0,0,Apartment
Hurlingham,Maisonette,3,3,190.0,"Swimming Pool, Gym, Garden, SQ, Gate, Laundry",23000000.0,121052.63,6.0,4.38,6,0.0316,1.0,0,House
Kileleshwa,Apartment,1,1,55.0,SQ,7500000.0,136363.64,0.5,3.33,2,0.0364,1.0,0,Apartment
Kilimani,Apartment,3,10,65.0,SQ,7200000.0,110769.23,0.5,3.85,13,0.2,3.33,0,Apartment
Westlands,Land,1,1,65.0,SQ,7000000.0,107692.31,0.5,2.93,2,0.0308,1.0,0,Other
Hurlingham,House,2,4,60.0,"Garden, SQ",11500000.0,191666.67,1.0,4.38,6,0.1,2.0,0,House
Imara Daima,Apartment,3,2,1854.413242803784,"Garden, SQ, Laundry",13500000.0,7279.93,1.5,8.83,5,0.0027,0.67,0,Apartment
Kilimani,Studio,1,1,23.11,SQ,2432000.0,105235.83,0.5,3.85,2,0.0865,1.0,0,Apartment
Thome,Maisonette,5,6,1400.0,SQ,89000000.0,63571.43,0.5,7.25,11,0.0079,1.2,0,House
Kileleshwa,Studio,1,1,42.0,SQ,4500000.0,107142.86,0.5,3.33,2,0.0476,1.0,0,Apartment
Komarock,Maisonette,4,4,505.0,SQ,12500000.0,24752.48,0.5,10.34,8,0.0158,1.0,0,House
Parklands,Land,3,3,2700.0,SQ,21000000.0,7777.78,0.5,2.72,6,0.0022,1.0,0,Other
Kileleshwa,Maisonette,4,3,130.0,SQ,38000000.0,292307.69,0.5,3.33,7,0.0538,0.75,0,House
Imara Daima,House,3,3,59.0,"Swimming Pool, Gym, SQ",10500000.0,177966.1,4.5,8.83,6,0.1017,1.0,0,House
Kilimani,Apartment,2,5,80.0,"SQ, Laundry",9000000.0,112500.0,1.0,3.85,7,0.0875,2.5,0,Apartment
Hurlingham,Apartment,3,3,134.0,SQ,15200000.0,113432.84,0.5,4.38,6,0.0448,1.0,0,Apartment
Kileleshwa,Apartment,1,1,58.0,SQ,7500000.0,129310.34,0.5,3.33,2,0.0345,1.0,0,Apartment
